unidade;ano;mes;media_permanencia
CSPD;2022,0;9,0;13,692307692307692
CSPD;2022,0;10,0;13,764705882352942
CSPD;2022,0;11,0;21,6
CSPD;2022,0;12,0;13,125
CSPD;2023,0;1,0;13,38888888888889
CSPD;2023,0;2,0;27,695652173913043
CSPD;2023,0;3,0;19,81081081081081
CSPD;2023,0;4,0;21,70967741935484
CSPD;2023,0;5,0;16,046511627906977
CSPD;2023,0;6,0;23,580645161290324
CSPD;2023,0;7,0;21,3
CSPD;2023,0;8,0;17,214285714285715
CSPD;2023,0;9,0;22,424242424242426
CSPD;2023,0;10,0;14,282051282051283
CSPD;2023,0;11,0;20,838709677419356
CSPD;2023,0;12,0;21,024390243902438
CSPD;2024,0;1,0;19,466666666666665
CSPD;2024,0;2,0;23,387096774193548
CSPD;2024,0;3,0;17,68888888888889
CSPD;2024,0;4,0;20,62
CSPD;2024,0;5,0;22,361702127659573
CSPD;2024,0;6,0;35,82142857142857
CSPD;2024,0;7,0;26,275
CSSFA;2019,0;1,0;81,8
CSSFA;2019,0;2,0;42,25
CSSFA;2019,0;3,0;69,8
CSSFA;2019,0;4,0;55,53846153846154
CSSFA;2019,0;5,0;76,3076923076923
CSSFA;2019,0;6,0;60,86666666666667
CSSFA;2019,0;7,0;38,42307692307692
CSSFA;2019,0;8,0;70,35714285714286
CSSFA;2019,0;9,0;61,5
CSSFA;2019,0;10,0;42,523809523809526
CSSFA;2019,0;11,0;21,17142857142857
CSSFA;2019,0;12,0;16,142857142857142
CSSFA;2020,0;1,0;94,85714285714286
CSSFA;2020,0;2,0;55,333333333333336
CSSFA;2020,0;3,0;20,06451612903226
CSSFA;2020,0;4,0;44,9
CSSFA;2020,0;5,0;29,846153846153847
CSSFA;2020,0;6,0;44,45454545454545
CSSFA;2020,0;7,0;50,7
CSSFA;2020,0;8,0;38,166666666666664
CSSFA;2020,0;9,0;44,53333333333333
CSSFA;2020,0;10,0;36,94736842105263
CSSFA;2020,0;11,0;53,357142857142854
CSSFA;2020,0;12,0;39,791666666666664
CSSFA;2021,0;1,0;48,8
CSSFA;2021,0;2,0;29,03448275862069
CSSFA;2021,0;3,0;36,5
CSSFA;2021,0;4,0;46,4
CSSFA;2021,0;5,0;35,34375
CSSFA;2021,0;6,0;33,06896551724138
CSSFA;2021,0;7,0;42,2
CSSFA;2021,0;8,0;38,17857142857143
CSSFA;2021,0;9,0;55,523809523809526
CSSFA;2021,0;10,0;48,28
CSSFA;2021,0;11,0;42,52
CSSFA;2021,0;12,0;52,23529411764706
CSSFA;2022,0;1,0;44,90909090909091
CSSFA;2022,0;2,0;72,38461538461539
CSSFA;2022,0;3,0;52,56521739130435
CSSFA;2022,0;4,0;36,3
CSSFA;2022,0;5,0;63,45
CSSFA;2022,0;6,0;50,46153846153846
CSSFA;2022,0;7,0;43,0625
CSSFA;2022,0;8,0;65,8695652173913
CSSFA;2022,0;9,0;53,77777777777778
CSSFA;2022,0;10,0;57,391304347826086
CSSFA;2022,0;11,0;47,04347826086956
CSSFA;2022,0;12,0;40,851851851851855
CSSFA;2023,0;1,0;92,15384615384616
CSSFA;2023,0;2,0;90,25
CSSFA;2023,0;3,0;31,545454545454547
CSSFA;2023,0;4,0;50,72222222222222
CSSFA;2023,0;5,0;66,3125
CSSFA;2023,0;6,0;50,25
CSSFA;2023,0;7,0;72,0
CSSFA;2023,0;8,0;47,18181818181818
CSSFA;2023,0;9,0;61,23529411764706
CSSFA;2023,0;10,0;40,916666666666664
CSSFA;2023,0;11,0;69,0
CSSFA;2023,0;12,0;51,473684210526315
CSSFA;2024,0;1,0;76,42857142857143
CSSFA;2024,0;2,0;119,4
CSSFA;2024,0;3,0;49,13333333333333
CSSFA;2024,0;4,0;56,416666666666664
CSSFA;2024,0;5,0;49,416666666666664
CSSFA;2024,0;6,0;103,5
CSSFA;2024,0;7,0;64,4090909090909
CSSFA;2024,0;8,0;39,4
CSSFA;2024,0;9,0;66,25
CSSFA;2024,0;10,0;49,32142857142857
CSSFA;2024,0;11,0;64,89473684210526
CSSFA;2024,0;12,0;64,1
CSSFA;2025,0;1,0;55,666666666666664
CSSFA;2025,0;2,0;56,35294117647059
CSSFA;2025,0;3,0;92,15384615384616
CSSFA;2025,0;4,0;62,611111111111114
CSSFA;2025,0;5,0;69,36842105263158
CSSFA;2025,0;6,0;83,05882352941177
CSSFA;2025,0;7,0;75,1
CSSFA;2025,0;8,0;53,46153846153846
CSSFA;2025,0;9,0;82,93333333333334
CSSFA;2025,0;10,0;75,0
CSSFA;2025,0;11,0;57,21052631578947
CSSFA;2025,0;12,0;64,61111111111111
CSSFA;2026,0;1,0;102,75
CSSFA;2026,0;2,0;62,22222222222222
CSSFE;2019,0;1,0;31,583333333333332
CSSFE;2019,0;2,0;15,789473684210526
CSSFE;2019,0;3,0;25,76923076923077
CSSFE;2019,0;4,0;21,384615384615383
CSSFE;2019,0;5,0;46,36363636363637
CSSFE;2019,0;6,0;32,111111111111114
CSSFE;2019,0;7,0;38,4
CSSFE;2019,0;8,0;44,0
CSSFE;2019,0;9,0;31,875
CSSFE;2019,0;10,0;22,695652173913043
CSSFE;2019,0;11,0;33,125
CSSFE;2019,0;12,0;15,047619047619047
CSSFE;2020,0;1,0;43,125
CSSFE;2020,0;2,0;20,058823529411764
CSSFE;2020,0;3,0;27,5
CSSFE;2020,0;4,0;28,307692307692307
CSSFE;2020,0;5,0;29,1
CSSFE;2020,0;6,0;39,77777777777778
CSSFE;2020,0;7,0;27,933333333333334
CSSFE;2020,0;8,0;29,7
CSSFE;2020,0;9,0;41,5
CSSFE;2020,0;10,0;35,7
CSSFE;2020,0;11,0;20,4375
CSSFE;2020,0;12,0;11,357142857142858
CSSFE;2021,0;1,0;18,8125
CSSFE;2021,0;2,0;9,757575757575758
CSSFE;2021,0;3,0;7,552631578947368
CSSFE;2021,0;4,0;10,764705882352942
CSSFE;2021,0;5,0;8,425
CSSFE;2021,0;6,0;7,4
CSSFE;2021,0;7,0;13,833333333333334
CSSFE;2021,0;8,0;8,405405405405405
